SOLICITUD;ESTADO_SOLICITUD;F_SOLCIITUD;F_CARGUE_SOLICITUD;Tipo_Op;ORIGEN;DESTINO;OBSERVACIONES;VIAJE;PLACA;FECHA CITA;CLIENTE;CANAL DE DISTRIBUCIÓN;NEGOCIO;CUMPLE;SEGUIMIENTO;CAUSA;ASIGNADA ;ABECEDARIO;CONS;MES;DIA;CITA REPRO.;TIPOLOGIA;PROPIETARIO;ConductorNombre;ConductorCel;
S2-362395;Confirmada;09/04/2019;10/04/2019;CROSSDOCKING TRAMO 1;MADRID;GIRARDOTA;CITA AC UNIVENTAS EL DIA 12 DE ABRIL 9:00 PM EL DIA VIERNES/EL RESTO CROOS LA VEGA/VA CON VTC CARRO CARROZADO;VS-813381;SWN181;12/04/2019 21:00;AC CD HC UNIVENTAS;ALMACENES CORONA;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-362482;Confirmada;09/04/2019;10/04/2019;CROSSDOCKING TRAMO 1;SOPO;GIRARDOTA;AC UNIVENTAS CITA EL DIA 12 DE ABRIL A LAS 11:00 PM/CROOS LA VEGA;VS-813200;MQE176;12/04/2019 23:00;AC CD HC UNIVENTAS;ALMACENES CORONA;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-361723;;08/04/2019;10/04/2019;NACIONAL;SOPO;PASTO;GAVILANES PATINO AYDA MARGOT CITA SABADO 13 DE ABRIL 5 AM MULA CARROZADA;;;13/04/2019 5:00;GAVILANES PATINO AYDA MARGOT;DETALLISTA;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-363566;;10/04/2019;11/04/2019;CROSSDOCKING TRAMO 1;SOPO;YUMBO;AC CD BODEGA CALI CITA SABADO 13 DE ABRIL 5 AM // DESPUES ENTREGAR EN YUMBO MULA EN PLANCHA;;;13/04/2019 5:00;AC CD BODEGA CALI;ALMACENES CORONA;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-364421;;11/04/2019;12/04/2019;URBANO;GIRARDOTA;MEDELLIN;CITA CRITICA  13   ABRIL  05  AM  MEDINA Y CIA. S. A. CON AUX DESCARGUE;;;13/04/2019 5:00;MEDINA Y CIA. S. A.;DETALLISTA;BAÑOS y COCINAS;SI;;;;;;;;;;;;;
S2-361724;;08/04/2019;09/04/2019;NACIONAL;SOPO;CUMBAL;GAVILANES PATINO AYDA MARGOT CITA VIERNES 12 DE ABRIL 5 AM // GUAMA VALENCIA FERNANDO MAUR CITA SABADO 13 DE ABRIL 6 AM MULA CARROZADA;;;13/04/2019 6:00;PRODIVERSO;CONTRUCTOR ;REVESTIMIENTO;SI;.;;;;;;;;;;;;
S2-362853;;09/04/2019;11/04/2019;NACIONAL;SOACHA;BUCARAMANGA;SODIMAC BUCARAMANGA CITA SABADO 13 ABRIL 6:00 A.M//AC PUERTA DEL SOL CITA SABADO 13 ABRIL 9:00 A.M//JHON NELSON RUBIANO//BOSQUES DEL VENADO;;;13/04/2019 6:00;SD BUCARAMANGA;AUTOSERVICO ;SUMICOL;NO;;PROBLEMAS EN VÍA ;EXTERNA;;;;;;;;;;
S2-363444;Confirmada;10/04/2019;11/04/2019;NACIONAL;GIRARDOTA;CALI;CITA CRITICA  13  ABRIL  6  AM SODIMAC COL. S.A. (CALI SUR)-ALMACEN CERAMICAS Y PINTURAS LTDA;VS-814259;SRN396;13/04/2019 6:00;SD CALI SUR;AUTOSERVICO ;BAÑOS y COCINAS;SI;;;;;;;;;;;;;
S2-363463;Confirmada;10/04/2019;11/04/2019;NACIONAL;SABANETA;SOACHA;CD SOACHA CITA SABADO 13 DE ABRIL 6 AM;;;13/04/2019 6:00;CD SOACHA;#N/A;SUMICOL;SI;;;;;;;;;;;;;
S2-363664;Confirmada;10/04/2019;11/04/2019;NACIONAL;MADRID;YOPAL;VILLAVICENCIO-YOPAL 4,5 CITA SODIMAC VILLAVICENCIO SE ENTREGA EL VIERNES 12 DE ABRIL 6 AM Y SODIMAC YOPAL SABADO 13 DE ABRIL 6 AM Y 6 CLIENTES MAS;  ;WLK771;13/04/2019 6:00;SD YOPAL;AUTOSERVICO ;BAÑOS y COCINAS;SI;;;;;;;;;;;;;
